"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 01 16:30:49 GMT 2024","Sat Jun 01 16:30:50 GMT 2024","79","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigRequestWithCorrectNameShouldPass","createBuildConfigRequestWithCorrectNameShouldPass",""
"passed","Sat Jun 01 16:30:49 GMT 2024","Sat Jun 01 16:30:49 GMT 2024","138","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigRequestWithCorrectNameShouldPass","createBuildConfigRequestWithCorrectNameShouldPass",""
"passed","Sat Jun 01 16:30:55 GMT 2024","Sat Jun 01 16:30:55 GMT 2024","55","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectRequestWithExistedIdShouldFail","createProjectRequestWithExistedIdShouldFail",""
"passed","Sat Jun 01 16:30:48 GMT 2024","Sat Jun 01 16:30:48 GMT 2024","118","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigRequestWithCorrectIdShouldPass","createBuildConfigRequestWithCorrectIdShouldPass",""
"passed","Sat Jun 01 16:30:52 GMT 2024","Sat Jun 01 16:30:52 GMT 2024","33","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigRequestWithIncorrectIdShouldFail","createBuildConfigRequestWithIncorrectIdShouldFail",""
"passed","Sat Jun 01 16:30:47 GMT 2024","Sat Jun 01 16:30:47 GMT 2024","94","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigRequestWithCorrectIdShouldPass","createBuildConfigRequestWithCorrectIdShouldPass",""
"passed","Sat Jun 01 16:30:53 GMT 2024","Sat Jun 01 16:30:54 GMT 2024","497","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigRequestWithoutStepsShouldPass","createBuildConfigRequestWithoutStepsShouldPass",""
"passed","Sat Jun 01 16:30:55 GMT 2024","Sat Jun 01 16:30:55 GMT 2024","25","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectRequestWithIncorrectIdShouldFail","createProjectRequestWithIncorrectIdShouldFail",""
"passed","Sat Jun 01 16:30:49 GMT 2024","Sat Jun 01 16:30:49 GMT 2024","88","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigRequestWithCorrectNameShouldPass","createBuildConfigRequestWithCorrectNameShouldPass",""
"passed","Sat Jun 01 16:30:49 GMT 2024","Sat Jun 01 16:30:49 GMT 2024","99","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigRequestWithCorrectNameShouldPass","createBuildConfigRequestWithCorrectNameShouldPass",""
"passed","Sat Jun 01 16:30:52 GMT 2024","Sat Jun 01 16:30:52 GMT 2024","45","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigRequestWithIncorrectIdShouldFail","createBuildConfigRequestWithIncorrectIdShouldFail",""
"passed","Sat Jun 01 16:30:48 GMT 2024","Sat Jun 01 16:30:48 GMT 2024","107","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigRequestWithCorrectIdShouldPass","createBuildConfigRequestWithCorrectIdShouldPass",""
"passed","Sat Jun 01 16:30:53 GMT 2024","Sat Jun 01 16:30:53 GMT 2024","23","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigRequestWithoutNameShouldFail","createBuildConfigRequestWithoutNameShouldFail",""
"passed","Sat Jun 01 16:30:59 GMT 2024","Sat Jun 01 16:30:59 GMT 2024","57","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","unauthorizedUserShouldNotHaveRightToCreateProject","unauthorizedUserShouldNotHaveRightToCreateProject",""
