"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 01 22:04:13 GMT 2024","Sat Jun 01 22:04:13 GMT 2024","31","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectRequestWithRootProjectParentIdInLocatorShouldPass","createProjectRequestWithRootProjectParentIdInLocatorShouldPass",""
"passed","Sat Jun 01 22:04:13 GMT 2024","Sat Jun 01 22:04:13 GMT 2024","35","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectRequestWithoutNameShouldFail","createProjectRequestWithoutNameShouldFail",""
"passed","Sat Jun 01 22:04:03 GMT 2024","Sat Jun 01 22:04:03 GMT 2024","114","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigRequestWithCorrectIdShouldPass","createBuildConfigRequestWithCorrectIdShouldPass",""
"passed","Sat Jun 01 22:04:12 GMT 2024","Sat Jun 01 22:04:12 GMT 2024","45","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectRequestWithIncorrectIdShouldFail","createProjectRequestWithIncorrectIdShouldFail",""
"passed","Sat Jun 01 22:04:09 GMT 2024","Sat Jun 01 22:04:09 GMT 2024","25","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigRequestWithIncorrectIdShouldFail","createBuildConfigRequestWithIncorrectIdShouldFail",""
"passed","Sat Jun 01 22:04:14 GMT 2024","Sat Jun 01 22:04:14 GMT 2024","332","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject","projectAdminShouldNotHaveRightsToCreateBuildConfigToAnotherProject",""
"passed","Sat Jun 01 22:04:14 GMT 2024","Sat Jun 01 22:04:14 GMT 2024","152","API Suite","API Test","com.example.teamcity.api.RolesTest","com.example.teamcity.api.RolesTest","systemAdminShouldHaveRightsToCreateProject","systemAdminShouldHaveRightsToCreateProject",""
"passed","Sat Jun 01 22:04:05 GMT 2024","Sat Jun 01 22:04:05 GMT 2024","103","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigRequestWithCorrectNameShouldPass","createBuildConfigRequestWithCorrectNameShouldPass",""
"passed","Sat Jun 01 22:04:12 GMT 2024","Sat Jun 01 22:04:12 GMT 2024","48","API Suite","API Test","com.example.teamcity.api.CreateProjectTest","com.example.teamcity.api.CreateProjectTest","createProjectRequestWithCorrectNameShouldPass","createProjectRequestWithCorrectNameShouldPass",""
"passed","Sat Jun 01 22:04:07 GMT 2024","Sat Jun 01 22:04:08 GMT 2024","89","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","createBuildConfigRequestWithIncorrectIdShouldFail","createBuildConfigRequestWithIncorrectIdShouldFail",""
